other_feature,floorplan,url,outdoor_feature,rental_yield,street_address,allowance,post_code,property_id,description,property_type,title,bond,bed,car,crawl_date,agent,median_rent,date_available,bathroom,suburb,agency,indoor_feature
,Not provided,https://www.realestate.com.au/property-apartment-qld-oxley-424671826,"Remote Garage,Secure Parking,Carport Spaces:,1,Balcony,Outdoor Entertaining Area","<span class=""rate""></span>",104/61 Ellen Street,,4075,"[424671826, 424671826]","This is a modern 2 bedroom, 2 bath near new apartment located in an extremely convenient location in Oxley. It features a large entertainer balcony which flows from the open plan lounge and kitchen areas, air conditioned bedrooms and lounge and comes complete with an ensuite and main bathroom. ",Apartment,Modern 2 Bedroom Apartment + Great Mystery Gift,"$1,760",2,1,"[datetime.date(2018, 9, 26)]",Royden Juriansz,"<span class=""price""></span>",Available Now,2,Oxley,Realty8 - UPPER MOUNT GRAVATT,"Ensuite:,1,Toilets:,2,Intercom,Built-in Wardrobes,Dishwasher,Split-system Air Conditioning,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-riverhills-413728751,"Carport Spaces:,1","<span class=""rate""></span>",8 Loddon Street,,4074,"[413728751, 413728751]","This private three bedroom home is located just a stones throw away from Middle Park State School, local shopping centres, public transport and much more! ",House,Comfortable Living - Ducted Air Conditioning throughout!,"$1,520",3,1,"[datetime.date(2018, 9, 26)]",Jacqui Price,"<span class=""price""></span>",Fri 05-Oct-18,1,Riverhills,Ray White - Middle Park,"Toilets:,1,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424781914,"Garage Spaces:,1","<span class=""rate""></span>",41 Donatello Street,Pet Friendly,4069,"[424781914, 424781914]","Beautifully located in a quiet tree lined street, there's everything to love about this property, Fig Tree Pocket has the rural country feel yet is less than 11km to the CBD and a quick 7 minute drive to the newly refurbished Indooroopilly Shoppingtown.",House,Quiet & Convenient Location..,"$1,600",3,1,"[datetime.date(2018, 9, 26)]",Brandon Collinson,"<span class=""price""></span>",Available Now,1,Fig Tree Pocket,Ray White - Toowong,"Toilets:,1,Air Conditioning"
,https://www.realestate.com.au/floorplan_new.ds?id=420696222&theme=rea.rent,https://www.realestate.com.au/property-house-qld-chelmer-420696222,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",7 Regatta Street,,4068,"[420696222, 420696222]",Booking an inspection is easy - Simply click “Email Agent” and complete the form and you will be emailed a link with available inspection times. ,House,RIVER BREEZE IN RENOVATED HOME!,"$1,400",2,1,"[datetime.date(2018, 9, 26)]",Cara Johnston,"<span class=""price""></span>",Thu 04-Oct-18,1,Chelmer,PMC Property Management -  QLD,"Toilets:,1,Floorboards,Built-in Wardrobes"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",https://www.realestate.com.au/floorplan_new.ds?id=424763510&theme=rea.rent,https://www.realestate.com.au/property-house-qld-richlands-424763510,"Secure Parking,Garage Spaces:,2","<span class=""rate""></span>",104 Brentford Road,,4077,"[424763510, 424763510]","Sienna Grove, Richlands situated approximately 15 kilometres from the Brisbane CBD, is recognised as a leafy, green suburb offering residents a high quality of life with strong linkages to major employment, education, retail and recreational attractions. ",House,Your Brand New Home Awaits,"$1,900",4,2,"[datetime.date(2018, 9, 26)]",Leasing Oxley,"<span class=""price""></span>",Available Now,2,Richlands,Tessa Residential New Farm - NEW FARM,"Toilets:,2,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-424205318,"Garage Spaces:,1","<span class=""rate""></span>",11/25 Hogan Place,,4073,"[424205318, 424205318]","In a leafy peaceful, complex totally secure from the outside you'll be pleased to call this place home.",Townhouse,Secure and Private,"$1,540",3,1,"[datetime.date(2018, 9, 26)]",Rentals Indooroopilly,"<span class=""price""></span>",Available Now,2,Seventeen Mile Rocks,Ray White Indooroopilly - INDOOROOPILLY,"Toilets:,3"
,Not provided,https://www.realestate.com.au/property-unit-qld-richlands-424744886,"Garage Spaces:,1","<span class=""rate""></span>",1/11 Cattiger Street,Pet Friendly,4077,"[424744886, 424744886]","This property is within walking distance to the local McDonalds, Woolworths shopping complex and short drive to the Richlands train station. ",Unit,Cosy three bedroom townhouse,"$1,400",3,1,"[datetime.date(2018, 9, 26)]",Sharon Nicholson,"<span class=""price""></span>",Available Now,2,Richlands,McGrath - Springfield,Air Conditioning
,Not provided,https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-423975866,"Garage Spaces:,1,Balcony,Swimming Pool - Inground","<span class=""rate""></span>",,,4073,"[423975866, 423975866]",LOVELY TOWNHOUSE RENTAL PROPERTY ,Townhouse,"LOVELY THREE BEDROOM TOWNHOUSE, ENSUITE, A/CON & POOL","$1,620",3,1,"[datetime.date(2018, 9, 26)]",Maureen Cutforth,"<span class=""price""></span>",Thu 04-Oct-18,2,Seventeen Mile Rocks,THEONSITEMANAGER - Hendra,"Intercom,Air Conditioning"
Area Views,Not provided,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424574186,"Carport Spaces:,1,Open Car Spaces:,1","<span class=""rate""></span>",25 Carlyle Street,,4073,"[424574186, 424574186]","This high set home is in a peaceful, leafy location & is currently under going a mini make over. A coat of paint & new curtains will give this already wonderful home a fresh new look.",House,Family Home in Quiet Street,"$1,580",3,2,"[datetime.date(2018, 9, 26)]",Katelyn Champney,"<span class=""price""></span>",Fri 05-Oct-18,1,Seventeen Mile Rocks,SPACE Property Agents - SOUTH BRISBANE,"Toilets:,1,Built-in Wardrobes,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424628274,"Garage Spaces:,1","<span class=""rate""></span>",1 Skirmish Street,,4073,"[424628274, 424628274]",This beautiful Balinese inspired masterpiece is 5-star luxury. ,House,Welcome to Your Very Own Inner-City Resort,"$2,100",3,1,"[datetime.date(2018, 9, 26)]","Jonathan Najarro,Jaclyn Lazarou","<span class=""price""></span>",Mon 08-Oct-18,2,Seventeen Mile Rocks,Place - Graceville,"Ensuite:,1,Living Areas:,1,Toilets:,2,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning"
"Built-In Wardrobes, Close to Shops, Close to Transport, Garden, Formal Lounge",Not provided,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-423570362,"Secure Parking,Garage Spaces:,2,Balcony","<span class=""rate""></span>",2 Pampling Street,,4073,"[423570362, 423570362]","• 3 Bedrooms - all with built-ins, ceiling fans and security screens",House,Quiet family area close to park,"$1,960",3,2,"[datetime.date(2018, 9, 26)]",Jacqui Price,"<span class=""price""></span>",Tue 02-Oct-18,2,Seventeen Mile Rocks,Ray White - Middle Park,Air Conditioning
Verandah,Not provided,https://www.realestate.com.au/property-house-qld-graceville-416662073,"Open Car Spaces:,2","<span class=""rate""></span>",7 Kew Road,Pet Friendly,4075,"[416662073, 416662073]",At $485.00 per week this is great value for those seeking a comfortable home in a great area.,House,"3 Bedroom Queenslander - Stroll to Graceville High Side Cafe's, Restaurants, Shops","$1,940",3,2,"[datetime.date(2018, 9, 26)]",Moira Dixon,"<span class=""price""></span>",Mon 05-Nov-18,1,Graceville,Walsh and Dixon Real Estate - Graceville,"Living Areas:,1,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424417126,"Remote Garage,Garage Spaces:,1","<span class=""rate""></span>",23/15 James Edward Street,,4077,"[424417126, 424417126]","Newly refurbished looks and well spaced rooms, it is perfect for couples and small families!",Townhouse,23/15 James Edward Street Richlands,"$1,440",3,1,"[datetime.date(2018, 9, 26)]",Richlands Rise,"<span class=""price""></span>",Available Now,2,Richlands,Australian Property Management Alliance - Mango Hill,"Ensuite:,1,Toilets:,3"
