price_des,crawl_date,floorplan,car,indoor_feature,bed,property_type,other_feature,agent,property_id,rental_yield,bathroom,median_rent,post_code,street_address,title,outdoor_feature,suburb,url,agency,date_available,price,allowance,bond,description
$410 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,2",[2],Unit,,Ian Stevenson,[424762458],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,5/535 Oxley Road,BRAND NEW - GREAT LOCATION,"Garage Spaces:,1",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424762458,DJ Stringer Property Services - Coolangatta,Available Now,$410 per week,,"$2,460",OPEN TO INSPECT SATURDAY 22ND SEPTEMBER 11:00AM - 12:00PM
$350 a week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=420696222&theme=rea.rent,[1],"Toilets:,1,Floorboards,Built-in Wardrobes",[2],House,,Cara Johnston,[420696222],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4068,7 Regatta Street,RIVER BREEZE IN RENOVATED HOME!,"Secure Parking,Garage Spaces:,1,Balcony",Chelmer,https://www.realestate.com.au/property-house-qld-chelmer-420696222,PMC Property Management -  QLD,Thu 04-Oct-18,$350 a week,,"$1,400",Booking an inspection is easy - Simply click “Email Agent” and complete the form and you will be emailed a link with available inspection times. 
$380 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Living Areas:,2,Toilets:,2,Study,Built-in Wardrobes,Air Conditioning",[3],House,"Close to Schools, Close to Shops, Close to Transport","Daniel Gow,Ellen Tran",[424748198],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,9 Aldebaran Street,Newly Renovated Home with a Multi-Purpose Attachment,"Open Car Spaces:,2",Inala,https://www.realestate.com.au/property-house-qld-inala-424748198,Calibre Real Estate  - Brisbane,Available Now,$380 per week,Pet Friendly,,Welcome to 9 Aldebaran Street in Inala.
$380 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,1,Air Conditioning",[3],House,,Jacqui Price,[413728751],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,8 Loddon Street,Comfortable Living - Ducted Air Conditioning throughout!,"Carport Spaces:,1",Riverhills,https://www.realestate.com.au/property-house-qld-riverhills-413728751,Ray White - Middle Park,Fri 05-Oct-18,$380 per week,,"$1,520","This private three bedroom home is located just a stones throw away from Middle Park State School, local shopping centres, public transport and much more! "
$440 per week + Great Mystery Gift,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Toilets:,2,Intercom,Built-in Wardrobes,Dishwasher,Split-system Air Conditioning,Air Conditioning",[2],Apartment,,Royden Juriansz,[424671826],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,104/61 Ellen Street,Modern 2 Bedroom Apartment + Great Mystery Gift,"Remote Garage,Secure Parking,Carport Spaces:,1,Balcony,Outdoor Entertaining Area",Oxley,https://www.realestate.com.au/property-apartment-qld-oxley-424671826,Realty8 - UPPER MOUNT GRAVATT,Available Now,$440 per week + Great Mystery Gift,,"$1,760","This is a modern 2 bedroom, 2 bath near new apartment located in an extremely convenient location in Oxley. It features a large entertainer balcony which flows from the open plan lounge and kitchen areas, air conditioned bedrooms and lounge and comes complete with an ensuite and main bathroom. "
$450.00pw FULLY FURNISHED!,"[datetime.date(2018, 9, 26)]",Not provided,[4],"Toilets:,1,Air Conditioning",[4],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Jerry Christo,[424745766],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,192 Oxley Road,FULLY FURNISHED – MODERN HOUSE- GREAT FOR STUDENTS !,"Open Car Spaces:,4",Graceville,https://www.realestate.com.au/property-house-qld-graceville-424745766,Christo Real Estate  - Greenslopes,Thu 18-Oct-18,$450.00pw FULLY FURNISHED!,Furnished,"$1,800",This newly renovated home is fully furnished with quality furniture throughout ready for you to move in! 
$350 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],Air Conditioning,[3],Unit,,Sharon Nicholson,[424744886],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,1/11 Cattiger Street,Cosy three bedroom townhouse,"Garage Spaces:,1",Richlands,https://www.realestate.com.au/property-unit-qld-richlands-424744886,McGrath - Springfield,Available Now,$350 per week,Pet Friendly,"$1,400","This property is within walking distance to the local McDonalds, Woolworths shopping complex and short drive to the Richlands train station. "
$440 PER WEEK PLUS ONE WEEKS FREE RENT!,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424663614&theme=rea.rent,[1],Air Conditioning,[2],Apartment,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport","Mark Gay,Yvonne Airlie",[424663614],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,104/61 Ellen Street,LOCATION! LOCATION! LOCATION! 2 BEDROOM APARTMENT IN OXLEY! PLUS ONE WEEKS FREE RENT!,"Secure Parking,Garage Spaces:,1,Balcony",Oxley,https://www.realestate.com.au/property-apartment-qld-oxley-424663614,Best Property 4 U - EIGHT MILE PLAINS,Available Now,$440 PER WEEK PLUS ONE WEEKS FREE RENT!,Pet Friendly,"$1,760","Impeccably finished and displaying an open and flowing contemporary layout, the immediately appealing interiors fuse high-quality fixtures with a bold streamlined aesthetic ensuring privacy, functionality and ease of living."
$410 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,1,Air Conditioning",[3],House,"Close to Schools, Close to Shops, Close to Transport",Karen Forrester,[419217530],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4073,21 Dove Tree Cres,3 Bedroom home,"Garage Spaces:,1",Sinnamon Park,https://www.realestate.com.au/property-house-qld-sinnamon+park-419217530,K & B Property Management Solutions - RACEVIEW,Thu 04-Oct-18,$410 per week,,"$1,640",PERFECT FOR YOU!
$440 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Intercom,Built-in Wardrobes,Dishwasher,Reverse-cycle Air Conditioning,Air Conditioning",[2],Unit,Ceiling Fans in bedrooms an living areas,"Rebecca Bezuidenhout,Anna Samios",[424779106],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,10/640 Oxley Road,TOTAL CONVENIENCE AND LUXURY,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony",Corinda,https://www.realestate.com.au/property-unit-qld-corinda-424779106,Nobel Realtors - Corinda,Wed 24-Oct-18,$440 per week,,"$1,760","A great opportunity to rent this fabulous unit in the sought after building ""Olympia Plaza"" in a super location!  Sweeping views from every room with no expense spared,  this cosy 2 bedroom apartment is ideal for busy professionals or downsizers. "
$475 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424763510&theme=rea.rent,[2],"Toilets:,2,Air Conditioning",[4],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Leasing Oxley,[424763510],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,104 Brentford Road,Your Brand New Home Awaits,"Secure Parking,Garage Spaces:,2",Richlands,https://www.realestate.com.au/property-house-qld-richlands-424763510,Tessa Residential New Farm - NEW FARM,Available Now,$475 per week,,"$1,900","Sienna Grove, Richlands situated approximately 15 kilometres from the Brisbane CBD, is recognised as a leafy, green suburb offering residents a high quality of life with strong linkages to major employment, education, retail and recreational attractions. "
$800.00 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=415139847&theme=rea.rent,[4],"Ensuite:,2,Living Areas:,2,Study,Dishwasher,Air Conditioning",[5],House,"Balcony, Deck, Verandah, Terrace/paved, Indoor entertainment area, Outdoor entertainment area",Moira Dixon,[415139847],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4075,208 Cliveden Avenue,Beautifully Renovated Character Home,"Secure Parking,Carport Spaces:,2,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced",Corinda,https://www.realestate.com.au/property-house-qld-corinda-415139847,Walsh and Dixon Real Estate - Graceville,Mon 05-Nov-18,$800.00 per week,,"$3,400","High on the Hill, Fabulous Views, Recently Renovated Character Home, Massive Front Veranda, Perfect Entertainer."
$550pw 6 Month Lease,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning",[5],House,,"Chase Bursnall,Prudence Lam",[424708558],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,20 Bareena Street,Great Family Home with Entertainers Deck and Swimming Pool,"Secure Parking,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground",Jindalee,https://www.realestate.com.au/property-house-qld-jindalee-424708558,Rent Star - Brisbane,Sat 29-Sep-18,$550pw 6 Month Lease,Pet Friendly,"$2,360",** ARRANGE AN INSPECTION NOW **
$485.00 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Living Areas:,1,Air Conditioning",[3],House,Verandah,Moira Dixon,[416662073],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,7 Kew Road,"3 Bedroom Queenslander - Stroll to Graceville High Side Cafe's, Restaurants, Shops","Open Car Spaces:,2",Graceville,https://www.realestate.com.au/property-house-qld-graceville-416662073,Walsh and Dixon Real Estate - Graceville,Mon 05-Nov-18,$485.00 per week,Pet Friendly,"$1,940",At $485.00 per week this is great value for those seeking a comfortable home in a great area.
$400 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,1,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning",[2],House,,"Jonathan Najarro,Jaclyn Lazarou",[424794666],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,29 Oxley Tce,Private and very cute house!,"Carport Spaces:,2,Deck",Corinda,https://www.realestate.com.au/property-house-qld-corinda-424794666,Place - Graceville,Sat 06-Oct-18,$400 per week,,"$1,600",Positioned in a quiet street you wouldn’t know you are so close to all amenities.
$370 p.w.,"[datetime.date(2018, 9, 26)]",Not provided,[3],,[3],House,Property Type: House Garaging / carparking: Single lock-up,Jess Kindt,[424584770],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,6 Moffat Street,Spacious Pet-Friendly Home Within Walking Distance to Train,"Garage Spaces:,1,Open Car Spaces:,2,Fully Fenced",Oxley,https://www.realestate.com.au/property-house-qld-oxley-424584770,Harcourts Marketplace - OXLEY,Sat 29-Sep-18,$370 p.w.,Pet Friendly,"$1,480","This lovely home, elevated at the top of Moffat Street is awesome value. Boasting polished timber floors, modern kitchen and ceiling fans and screens throughout, this wonderful property will no doubt be snapped up quickly! If you think it already sounds perfect, just wait until you see the huge storage area and fully-fenced pet and kid friendly yard which has further room to park trailers or vehicles.."
$620 per week,"[datetime.date(2018, 9, 26)]",Not provided,[4],"Toilets:,3",[6],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Ceiling Fans",Courtney Pearson,[424745322],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4077,4 Cygnus Street,Room for the whole EXTENDED family and PET FREINDLY!,"Garage Spaces:,2,Open Car Spaces:,2",Inala,https://www.realestate.com.au/property-house-qld-inala-424745322,One Agency - Forest Lake,Available Now,$620 per week,Pet Friendly,"$2,480",Looking for the perfect home that has space for the whole family?  Or are you looking for the perfect teenagers retreat for those that aren't ready to leave the nest? Look no further because this property has it all!
$840 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[4],House,,Miles Johnston,[424679134],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4068,120 Queenscroft Street,RIVER WONDERLAND,"Carport Spaces:,2",Chelmer,https://www.realestate.com.au/property-house-qld-chelmer-424679134,JOHNSTON DIXON - Brisbane,Mon 08-Oct-18,$840 per week,,,"This absolute riverfront local landmark graces a grand 1,812m2 of north-facing land with a wide 18 metre frontage to the road and river."
$355/week+1wk Free,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Toilets:,3",[3],Townhouse,,Richlands Rise,[424417126],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,23/15 James Edward Street,23/15 James Edward Street Richlands,"Remote Garage,Garage Spaces:,1",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424417126,Australian Property Management Alliance - Mango Hill,Available Now,$355/week+1wk Free,,"$1,440","Newly refurbished looks and well spaced rooms, it is perfect for couples and small families!"
$505 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,1,Air Conditioning",[5],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Jacqui Price,[420305282],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,6 Cooradilla Street,Large Highset home in Jindalee!,"Secure Parking,Garage Spaces:,2,Balcony",Jindalee,https://www.realestate.com.au/property-house-qld-jindalee-420305282,Ray White - Middle Park,Mon 03-Dec-18,$505 per week,,"$2,020",This brick highset home in Jindalee would suit a large family or dual living.
$700 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424619930&theme=rea.rent,[2],"Toilets:,3,Air Conditioning",[4],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Brandon Collinson,[424619930],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,128 Lynne Grove Avenue,Spectacular family home in desirable location!,"Garage Spaces:,2",Corinda,https://www.realestate.com.au/property-house-qld-corinda-424619930,Ray White - Toowong,Available Now,$700 per week,,"$2,800","The grand proportions of this newly constructed single level home are evident from your first step into the welcoming foyer, ensuring space will never be lacking with ample room for a large family or frequent entertainers. Offering three separate entertaining areas and four generous bedrooms spread out over a spacious and unique floor plan, this home exceeds all expectations and is sure to impress. Situated in a sought after, family friendly street that enjoys easy access to parklands, playgrounds, dog park and walking tracks. "
CONTACT AGENT,"[datetime.date(2018, 9, 26)]",http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=metbne01&uniqueID=69314&source=REA,[1],Air Conditioning,[1],Unit,,Lauren MacDonald,[424582386],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,1/12 Skew Street,Recently Updated One Bedroom Apartment  Heart of Sherwood!,"Garage Spaces:,1",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424582386,Image Property - FORTITUDE VALLEY,Available Now,CONTACT AGENT,,"$1,080","This light & airy fully one-bedroom unit is now ready to call home. Offering an air conditioned open plan living area providing easy access to the kitchen and meals area, well-sized bedroom and spacious ensuite bathroom. The bedroom features a built in, brand new carpet and ceiling fan, with access to the ensuite bathroom. For added security and privacy the unit is fitted with security screens and brand new roller blinds throughout."
$400 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,1,Air Conditioning",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Brandon Collinson,[424781914],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4069,41 Donatello Street,Quiet & Convenient Location..,"Garage Spaces:,1",Fig Tree Pocket,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424781914,Ray White - Toowong,Available Now,$400 per week,Pet Friendly,"$1,600","Beautifully located in a quiet tree lined street, there's everything to love about this property, Fig Tree Pocket has the rural country feel yet is less than 11km to the CBD and a quick 7 minute drive to the newly refurbished Indooroopilly Shoppingtown."
$450 per week,"[datetime.date(2018, 9, 26)]",http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=ipm03&uniqueID=43117.1&source=REA,[2],"Ensuite:,1,Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning",[2],Apartment,,Tahlia Halstead,[424734602],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,403/47 Hood Street,"MODERN, SPACIOUS, STUNNING CITY VIEWS!","Remote Garage,Secure Parking,Garage Spaces:,2,Balcony",Sherwood,https://www.realestate.com.au/property-apartment-qld-sherwood-424734602,Image Property - ASPLEY,Wed 31-Oct-18,$450 per week,Pet Friendly,"$1,800","This near new, spacious apartment is sure to impress! Finished to the highest standard with a modern layout, you won't want to miss the chance to inspect. This boutique complex is located only a 700m walk to the Sherwood train station, allowing you to take full advantage of the public transport facilities. "
