bed,price_des,title,url,date_available,other_feature,median_rent,indoor_feature,car,outdoor_feature,bond,suburb,agent,agency,bathroom,property_type,allowance,description,price,floorplan,property_id,rental_yield,post_code,crawl_date,street_address
[3],$395 per week,Family Home in Quiet Street,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424574186,Fri 05-Oct-18,Area Views,"<span class=""price""></span>","Toilets:,1,Built-in Wardrobes,Air Conditioning",[2],"Carport Spaces:,1,Open Car Spaces:,1","$1,580",Seventeen Mile Rocks,Katelyn Champney,SPACE Property Agents - SOUTH BRISBANE,[1],House,,"This high set home is in a peaceful, leafy location & is currently under going a mini make over. A coat of paint & new curtains will give this already wonderful home a fresh new look.","$395,$395,",Not provided,[424574186],"<span class=""rate""></span>",4073,"[datetime.date(2018, 9, 26)]",25 Carlyle Street
[2],$350 a week,RIVER BREEZE IN RENOVATED HOME!,https://www.realestate.com.au/property-house-qld-chelmer-420696222,Thu 04-Oct-18,,"<span class=""price""></span>","Toilets:,1,Floorboards,Built-in Wardrobes",[1],"Secure Parking,Garage Spaces:,1,Balcony","$1,400",Chelmer,Cara Johnston,PMC Property Management -  QLD,[1],House,,Booking an inspection is easy - Simply click “Email Agent” and complete the form and you will be emailed a link with available inspection times. ,"$350,$350,",https://www.realestate.com.au/floorplan_new.ds?id=420696222&theme=rea.rent,[420696222],"<span class=""rate""></span>",4068,"[datetime.date(2018, 9, 26)]",7 Regatta Street
[2],$410 per week,BRAND NEW - GREAT LOCATION,https://www.realestate.com.au/property-unit-qld-sherwood-424762458,Available Now,,"<span class=""price""></span>","Toilets:,2",[1],"Garage Spaces:,1","$2,460",Sherwood,Ian Stevenson,DJ Stringer Property Services - Coolangatta,[2],Unit,,OPEN TO INSPECT SATURDAY 22ND SEPTEMBER 11:00AM - 12:00PM,"$410,$410,",Not provided,[424762458],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",5/535 Oxley Road
[3],$ 525 Per week,Welcome to Your Very Own Inner-City Resort,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424628274,Mon 08-Oct-18,,"<span class=""price""></span>","Ensuite:,1,Living Areas:,1,Toilets:,2,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning",[1],"Garage Spaces:,1","$2,100",Seventeen Mile Rocks,"Jonathan Najarro,Jaclyn Lazarou",Place - Graceville,[2],House,,This beautiful Balinese inspired masterpiece is 5-star luxury. ,"$ 525,$ 525,",Not provided,[424628274],"<span class=""rate""></span>",4073,"[datetime.date(2018, 9, 26)]",1 Skirmish Street
[4],$450.00pw FULLY FURNISHED!,FULLY FURNISHED – MODERN HOUSE- GREAT FOR STUDENTS !,https://www.realestate.com.au/property-house-qld-graceville-424745766,Thu 18-Oct-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport","<span class=""price""></span>","Toilets:,1,Air Conditioning",[4],"Open Car Spaces:,4","$1,800",Graceville,Jerry Christo,Christo Real Estate  - Greenslopes,[1],House,Furnished,This newly renovated home is fully furnished with quality furniture throughout ready for you to move in! ,"$450,$450,",Not provided,[424745766],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",192 Oxley Road
[3],$360 per week,Ask About 1 Week Rent Free!,https://www.realestate.com.au/property-townhouse-qld-richlands-424646150,Available Now,0,"<span class=""price""></span>","Ensuite:,1,Toilets:,3,Built-in Wardrobes,Pay TV Access,Dishwasher,Ducted Heating,Ducted Cooling",[1],"Remote Garage,Garage Spaces:,1,Outdoor Entertaining Area,Fully Fenced","$1,440",Richlands,Jack Byrnes,H & U Property Group - MARGATE,[2],Townhouse,Pet Friendly,"This townhouse is situated in walking distance to Richlands Shopping Centre, there are numerous schools nearby and parks and fields. This complex is very quite with no passing by traffic as it is situated at the end of the street.","$360,$360,",Not provided,[424646150],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",48/54 Farinazzo Street
[3],$375 p.w.,"Pool, Air-conditioning, Pet-Friendly...Absolutely Perfect!",https://www.realestate.com.au/property-townhouse-qld-oxley-424745930,Available Now,Property Type: Townhouse Garaging / carparking: Single lock-up,"<span class=""price""></span>","Ensuite:,1,Built-in Wardrobes,Dishwasher,Air Conditioning",[1],"Garage Spaces:,1,Fully Fenced","$1,500",Oxley,Jess Kindt,Harcourts Marketplace - OXLEY,[2],Townhouse,Pet Friendly,"Love Summer living in this immaculate townhouse located in the heart of Oxley - only minute walk to train station and local shopping hubs. Met with air-conditioning, inground complex swimming pool, ceiling fans and pet-friendly courtyard, this property is amazing value!","$375,$375,",Not provided,[424745930],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",6/10 Chapman Place
[3],$380 per week,Newly Renovated Home with a Multi-Purpose Attachment,https://www.realestate.com.au/property-house-qld-inala-424748198,Available Now,"Close to Schools, Close to Shops, Close to Transport","<span class=""price""></span>","Living Areas:,2,Toilets:,2,Study,Built-in Wardrobes,Air Conditioning",[2],"Open Car Spaces:,2",,Inala,"Daniel Gow,Ellen Tran",Calibre Real Estate  - Brisbane,[2],House,Pet Friendly,Welcome to 9 Aldebaran Street in Inala.,"$380,$380,",Not provided,[424748198],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",9 Aldebaran Street
[3],$390 per week,Recently Renovated and Picture Perfect!!!,https://www.realestate.com.au/property-house-qld-jamboree+heights-421880154,Thu 11-Oct-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,1,Floorboards,Air Conditioning",[2],"Secure Parking,Carport Spaces:,2","$1,560",Jamboree Heights,Jacqui Price,Ray White - Middle Park,[1],House,Pet Friendly,"Beautifully located in a quiet street, there's everything to love about this property! This house has a new kitchen, a fresh bathroom and new timber floors in all bedrooms.  Fresh paint and attention to all the little details makes this house stand out from the rest. ","$390,$390,",Not provided,[421880154],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",5 Port St
[2],$370 per week,Modern Split levelled townhouse!,https://www.realestate.com.au/property-townhouse-qld-riverhills-424753782,Thu 18-Oct-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,2,Air Conditioning",[1],"Secure Parking,Garage Spaces:,1,Balcony","$1,480",Riverhills,Jacqui Price,Ray White - Middle Park,[2],Townhouse,,"Renovated 2 bedroom townhouse, located in a gated complex in Riverhills.","$370,$370,",Not provided,[424753782],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",14/32 Tomkins Rd
