title,price,url,indoor_feature,bed,description,car,median_rent,other_feature,post_code,property_type,property_id,bond,rental_yield,crawl_date,price_des,street_address,agency,bathroom,suburb,floorplan,agent,date_available,outdoor_feature
TOTAL CONVENIENCE AND LUXURY,"$440,$440,",https://www.realestate.com.au/property-unit-qld-corinda-424779106,"Intercom,Built-in Wardrobes,Dishwasher,Reverse-cycle Air Conditioning,Air Conditioning",[2],"A great opportunity to rent this fabulous unit in the sought after building ""Olympia Plaza"" in a super location!  Sweeping views from every room with no expense spared,  this cosy 2 bedroom apartment is ideal for busy professionals or downsizers. ",[1],"<span class=""price""></span>",Ceiling Fans in bedrooms an living areas,4075,Unit,[424779106],"$1,760","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$440 per week,10/640 Oxley Road,Nobel Realtors - Corinda,[2],Corinda,Not provided,"Rebecca Bezuidenhout,Anna Samios",Wed 24-Oct-18,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony"
Modern Split levelled townhouse!,"$370,$370,",https://www.realestate.com.au/property-townhouse-qld-riverhills-424753782,"Toilets:,2,Air Conditioning",[2],"Renovated 2 bedroom townhouse, located in a gated complex in Riverhills.",[1],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",4074,Townhouse,[424753782],"$1,480","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$370 per week,14/32 Tomkins Rd,Ray White - Middle Park,[2],Riverhills,Not provided,Jacqui Price,Thu 18-Oct-18,"Secure Parking,Garage Spaces:,1,Balcony"
Newly Renovated Home with a Multi-Purpose Attachment,"$380,$380,",https://www.realestate.com.au/property-house-qld-inala-424748198,"Living Areas:,2,Toilets:,2,Study,Built-in Wardrobes,Air Conditioning",[3],Welcome to 9 Aldebaran Street in Inala.,[2],"<span class=""price""></span>","Close to Schools, Close to Shops, Close to Transport",4077,House,[424748198],,"<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$380 per week,9 Aldebaran Street,Calibre Real Estate  - Brisbane,[2],Inala,Not provided,"Daniel Gow,Ellen Tran",Available Now,"Open Car Spaces:,2"
FULLY FURNISHED – MODERN HOUSE- GREAT FOR STUDENTS !,"$450,$450,,00,00,",https://www.realestate.com.au/property-house-qld-graceville-424745766,"Toilets:,1,Air Conditioning",[4],This newly renovated home is fully furnished with quality furniture throughout ready for you to move in! ,[4],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",4075,House,[424745766],"$1,800","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$450.00pw FULLY FURNISHED!,192 Oxley Road,Christo Real Estate  - Greenslopes,[1],Graceville,Not provided,Jerry Christo,Thu 18-Oct-18,"Open Car Spaces:,4"
BRAND NEW - GREAT LOCATION,"$410,$410,",https://www.realestate.com.au/property-unit-qld-sherwood-424762458,"Toilets:,2",[2],OPEN TO INSPECT SATURDAY 22ND SEPTEMBER 11:00AM - 12:00PM,[1],"<span class=""price""></span>",,4075,Unit,[424762458],"$2,460","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$410 per week,5/535 Oxley Road,DJ Stringer Property Services - Coolangatta,[2],Sherwood,Not provided,Ian Stevenson,Available Now,"Garage Spaces:,1"
Quiet & Convenient Location..,"$400,$400,",https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424781914,"Toilets:,1,Air Conditioning",[3],"Beautifully located in a quiet tree lined street, there's everything to love about this property, Fig Tree Pocket has the rural country feel yet is less than 11km to the CBD and a quick 7 minute drive to the newly refurbished Indooroopilly Shoppingtown.",[1],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",4069,House,[424781914],"$1,600","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$400 per week,41 Donatello Street,Ray White - Toowong,[1],Fig Tree Pocket,Not provided,Brandon Collinson,Available Now,"Garage Spaces:,1"
Cosy three bedroom townhouse,"$350,$350,",https://www.realestate.com.au/property-unit-qld-richlands-424744886,Air Conditioning,[3],"This property is within walking distance to the local McDonalds, Woolworths shopping complex and short drive to the Richlands train station. ",[1],"<span class=""price""></span>",,4077,Unit,[424744886],"$1,400","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$350 per week,1/11 Cattiger Street,McGrath - Springfield,[2],Richlands,Not provided,Sharon Nicholson,Available Now,"Garage Spaces:,1"
RIVER BREEZE IN RENOVATED HOME!,"$350,$350,",https://www.realestate.com.au/property-house-qld-chelmer-420696222,"Toilets:,1,Floorboards,Built-in Wardrobes",[2],Booking an inspection is easy - Simply click “Email Agent” and complete the form and you will be emailed a link with available inspection times. ,[1],"<span class=""price""></span>",,4068,House,[420696222],"$1,400","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$350 a week,7 Regatta Street,PMC Property Management -  QLD,[1],Chelmer,https://www.realestate.com.au/floorplan_new.ds?id=420696222&theme=rea.rent,Cara Johnston,Thu 04-Oct-18,"Secure Parking,Garage Spaces:,1,Balcony"
Comfortable Living - Ducted Air Conditioning throughout!,"$380,$380,",https://www.realestate.com.au/property-house-qld-riverhills-413728751,"Toilets:,1,Air Conditioning",[3],"This private three bedroom home is located just a stones throw away from Middle Park State School, local shopping centres, public transport and much more! ",[1],"<span class=""price""></span>",,4074,House,[413728751],"$1,520","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$380 per week,8 Loddon Street,Ray White - Middle Park,[1],Riverhills,Not provided,Jacqui Price,Fri 05-Oct-18,"Carport Spaces:,1"
Spacious Lowset,"$395,$395,",https://www.realestate.com.au/property-house-qld-riverhills-424743510,"Toilets:,1",[3],This lowset home has loads to offer a family looking for somewhere to call home!,[2],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",4074,House,[424743510],"$1,580","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$395 per week,5 Miena Close,Ray White - Middle Park,[1],Riverhills,Not provided,Karyl Davies,Fri 28-Sep-18,"Carport Spaces:,2"
